drug_id,name,company,score,source
3,Viscozyme,Roche (Chile),good,
5,Davictrel,,good,
5,Tunex,,good,
6,Angiox,,good,
6,Hirulog,,good,
7,Camcevi,Foresee Pharmaceuticals,good,
7,Leuplin,Takeda,good,
7,LeuProMaxx,Baxter/Teva,good,
7,Memryte,Curaxis,good,
7,Prostap 3,Takeda UK,good,
7,Prostap SR,Takeda UK,good,
10,Geref,Serono Pharma,good,
11,Wellferon,GlaxoSmithKline,good,
13,Abbokinase,Abbott Laboratories,good,
16,Epobel,"Nobel Ilac Pazarlama ve Sanayii Ltd. STI., Turkey",good,
16,Epocept,Lupin pharma,good,
16,Epofit,Intas pharma,good,
16,Epogin,Chugai,good,
16,Eqralys,Hemofarm AD,good,
16,Nanokine,"Nanogen Pharmaceutical biotechnology, Vietnam)",good,
17,Calcimar,,good,
18,Alferon,,good,
18,Alferon N,,good,
20,Leucomax,Novartis,good,
22,PEG-Intron,Schering Corp,good,
25,Bioclate,,good,
25,Helixate,,good,
25,Hyate:C,,good,
25,Koate-HP,,good,
25,Kogenate,,good,
25,Monarc-M,,good,
25,ReFacto,,good,
27,Sofradex,Sanofi,good,
28,ClairYg,,good,
29,Eminase,Wulfing Pharma GmbH,good,
33,Immukin,,good,
34,Roferon A,Hoffmann-La Roche Inc,good,
34,Veldona,Amarillo Biosciences,good,
35,Adiuretin,Ferring,good,
35,DesmoMelt,Ferring,good,
42,Neurobloc,Solstice Neurosciences,good,
45,LYMErix,SmithKline Beecham,good,
47,Lantus R,,good,
47,Lusduna Nexvue,,good,
47,Optisulin,,good,
47,Semglee,Mylan Pharmaceuticals Inc.,good,
48,Cordase,,good,
51,Amjevita,"Amgen, Inc.",good,
51,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",good,
51,Humira Pen,Abbott Laboratories,good,
52,BioTropin,Biotech General,good,
57,OncoScint ,"Cytogen Corp, Lonza Biologics",good,
58,Aralast,Baxter,good,
58,Prolastin,Talecris Biotherapeutics C formerly Bayer,good,
60,Betaferon,Bayer,good,
60,Blastoferon,Sidus,good,
