drug_id,region,max_phase,marketed_prescription,marketed_prescription_started_on,marketed_prescription_ended_on,generic_available,generic_available_on,mixture_available,mixture_available_on,marketed_otc,marketed_otc_started_on,marketed_otc_ended_on,marketed_unapproved,marketed_unapproved_started_on,marketed_unapproved_ended_on,pre_market_cancelled,pre_market_cancelled_on,post_market_cancelled,post_market_cancelled_on
1,ca,4,1,31-Jan-2000,26-Jul-2013,0,,0,,0,,,0,,,0,,1,26-Jul-2013
1,eu,4,1,08-Sep-2016,27-Jul-2012,0,,0,,0,,,0,,,1,,0,
1,th,0,0,,,0,,0,,0,,,0,,,0,,0,
1,us,4,1,06-Mar-1998,30-Jun-2013,0,,0,,0,,,0,,,0,,1,30-Jun-2013
2,ca,4,1,28-Oct-2008,,0,,0,,0,,,0,,,0,,0,
2,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
2,th,4,0,,,0,,0,,0,,,0,,,0,,0,
2,us,4,1,12-Feb-2004,,0,,0,,0,,,0,,,0,,0,
3,ca,4,1,31-Dec-1994,,0,,0,,0,,,0,,,0,,0,
3,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
3,th,0,0,,,0,,0,,0,,,0,,,0,,0,
3,us,4,1,30-Dec-1993,,0,,0,,0,,,0,,,0,,0,
4,ca,4,0,,,0,,0,,0,,,0,,,1,,0,
4,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
4,th,0,0,,,0,,0,,0,,,0,,,0,,0,
4,us,4,1,01-Nov-2013,01-Nov-2013,0,,0,,0,,,0,,,0,,1,01-Nov-2013
5,ca,4,1,14-Mar-2001,,0,,1,,0,,,0,,,0,,0,
5,eu,4,1,20-Sep-2016,,0,,0,,0,,,0,,,0,,0,
5,th,4,0,,,0,,0,,0,,,0,,,0,,0,
5,us,4,1,02-Jan-2003,,0,,1,,0,,,0,,,0,,0,
6,ca,4,1,08-May-2003,,0,,0,,0,,,0,,,0,,0,
6,eu,4,1,16-Dec-2020,14-Sep-2018,0,,0,,0,,,0,,,1,,0,
6,th,0,0,,,0,,0,,0,,,0,,,0,,0,
6,us,4,1,15-Dec-2000,,1,,0,,0,,,0,,,0,,0,
7,ca,4,1,31-Dec-1985,,0,,0,,0,,,0,,,0,,0,
7,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
7,th,4,0,,,0,,0,,0,,,0,,,0,,0,
7,us,4,1,09-Apr-1986,,1,,1,,0,,,0,,,0,,0,
8,ca,4,1,14-Aug-2003,,0,,1,,0,,,0,,,0,,0,
8,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
8,th,4,0,,,0,,0,,0,,,0,,,0,,0,
8,us,4,1,16-Oct-2002,,0,,0,,0,,,0,,,0,,0,
9,ca,4,1,31-Dec-1987,,0,,1,,0,,,0,,,0,,0,
9,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
9,th,4,0,,,0,,0,,0,,,0,,,0,,0,
9,us,4,1,13-Nov-1987,,0,,0,,0,,,0,,,0,,0,
10,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
10,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
10,th,0,0,,,0,,0,,0,,,0,,,0,,0,
10,us,0,0,,,0,,0,,0,,,0,,,0,,0,
11,ca,4,1,31-Dec-1992,01-Aug-2000,0,,0,,0,,,0,,,0,,1,01-Aug-2000
11,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
11,th,0,0,,,0,,0,,0,,,0,,,0,,0,
11,us,0,0,,,0,,0,,0,,,0,,,0,,0,
12,ca,4,1,13-Aug-2002,,0,,0,,0,,,0,,,0,,0,
12,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
12,th,4,0,,,0,,0,,0,,,0,,,0,,0,
12,us,4,1,01-Oct-2001,,0,,0,,0,,,0,,,0,,0,
13,ca,4,1,31-Dec-1988,28-Oct-2009,0,,0,,0,,,0,,,0,,1,28-Oct-2009
13,eu,3,0,,,0,,0,,0,,,0,,,0,,0,
13,th,4,0,,,0,,0,,0,,,0,,,0,,0,
13,us,4,1,08-Jun-2007,,0,,0,,0,,,0,,,0,,0,
14,ca,4,1,31-Dec-1994,,0,,0,,0,,,0,,,0,,0,
14,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
14,th,4,0,,,0,,0,,0,,,0,,,0,,0,
14,us,4,1,05-May-2003,,0,,0,,0,,,0,,,0,,0,
15,ca,4,1,19-Feb-1999,29-Aug-2013,0,,0,,0,,,0,,,0,,1,29-Aug-2013
15,eu,4,1,22-Dec-2020,,0,,0,,0,,,0,,,0,,0,
15,th,0,0,,,0,,0,,0,,,0,,,0,,0,
15,us,4,1,30-Oct-1996,,0,,0,,0,,,0,,,0,,0,
16,ca,4,1,31-Dec-1990,,0,,0,,0,,,0,,,0,,0,
16,eu,4,1,07-Sep-2016,,0,,0,,0,,,0,,,0,,0,
16,th,4,0,,,0,,0,,0,,,0,,,0,,0,
16,us,4,1,01-Jun-1989,,0,,0,,0,,,0,,,0,,0,
17,ca,4,1,31-Dec-1983,,1,,0,,0,,,0,,,0,,0,
17,eu,4,1,08-Sep-2016,20-Nov-2008,0,,0,,0,,,0,,,1,,0,
17,th,4,0,,,0,,0,,0,,,0,,,0,,0,
17,us,4,1,03-Jul-1986,,1,,0,,0,,,0,,,0,,0,
18,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
18,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
18,th,0,0,,,0,,0,,0,,,0,,,0,,0,
18,us,4,1,10-Oct-1989,,0,,0,,0,,,0,,,0,,0,
19,ca,4,1,12-Mar-2004,,0,,0,,0,,,0,,,0,,0,
19,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
19,th,4,0,,,0,,0,,0,,,0,,,0,,0,
19,us,4,1,01-Apr-2002,,0,,0,,0,,,0,,,0,,0,
20,ca,3,0,,,0,,0,,0,,,0,,,0,,0,
20,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
20,th,0,0,,,0,,0,,0,,,0,,,0,,0,
20,us,4,1,05-Mar-1991,,0,,0,,0,,,0,,,0,,0,
22,ca,4,1,27-Mar-2001,05-Oct-2017,0,,1,,0,,,0,,,0,,1,05-Oct-2017
22,eu,4,1,09-Feb-2021,03-Jun-2021,0,,0,,0,,,0,,,1,,0,
22,th,4,0,,,0,,0,,0,,,0,,,0,,0,
22,us,4,1,19-Jan-2001,,0,,0,,0,,,0,,,0,,0,
23,ca,4,1,31-Dec-1974,07-Jul-2021,0,,0,,0,,,0,,,0,,1,07-Jul-2021
23,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
23,th,4,0,,,0,,0,,0,,,0,,,0,,0,
23,us,4,1,10-Jan-1978,,0,,0,,0,,,0,,,0,,0,
24,ca,4,1,12-Aug-2002,,0,,0,,0,,,0,,,0,,0,
24,eu,4,1,23-Dec-2020,,0,,0,,0,,,0,,,0,,0,
24,th,4,0,,,0,,0,,0,,,0,,,0,,0,
24,us,4,1,30-Nov-1998,,0,,0,,0,,,0,,,0,,0,
25,ca,4,1,31-Dec-1992,,0,,0,,0,,,0,,,0,,0,
25,eu,4,1,07-Sep-2016,,0,,0,,0,,,0,,,0,,0,
25,th,4,0,,,0,,0,,0,,,0,,,0,,0,
25,us,4,1,18-Aug-2000,,0,,0,,0,,,0,,,0,,0,
26,ca,4,1,29-May-2002,,0,,0,,0,,,0,,,0,,0,
26,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
26,th,0,0,,,0,,0,,0,,,0,,,0,,0,
26,us,4,1,15-Dec-2009,,0,,0,,0,,,0,,,0,,0,
27,ca,4,1,31-Dec-1959,,1,,1,,1,31-Dec-1971,,0,,,0,,0,
27,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
27,th,4,0,,,0,,1,,1,11-Apr-1984,,0,,,0,,0,
27,us,4,1,11-Apr-1955,,1,,1,,0,,,0,,,0,,0,
28,ca,4,1,31-Dec-1951,,0,,1,,0,,,0,,,0,,0,
28,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
28,th,4,0,,,0,,0,,0,,,0,,,0,,0,
28,us,4,1,07-Jun-1984,,0,,1,,0,,,0,,,0,,0,
29,ca,4,1,15-Dec-1997,23-Feb-2009,0,,0,,0,,,0,,,0,,1,23-Feb-2009
29,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
29,th,0,0,,,0,,0,,0,,,0,,,0,,0,
29,us,0,0,,,0,,0,,0,,,0,,,0,,0,
30,ca,4,1,31-Dec-1980,,0,,1,,0,,,0,,,0,,0,
30,eu,4,1,07-Sep-2016,,0,,0,,0,,,0,,,0,,0,
30,th,4,0,,,0,,1,,0,,,0,,,0,,0,
30,us,4,1,25-Jun-1991,,0,,1,,1,27-Jun-1983,,0,,,0,,0,
31,ca,4,1,18-Oct-2001,,0,,0,,0,,,0,,,0,,0,
31,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
31,th,4,0,,,0,,0,,0,,,0,,,0,,0,
