drug_id,caco2,caco2_probability,bbb,bbb_probability,hia,hia_probability,p_glycoprotein_substrate,p_glycoprotein_substrate_probability,p_glycoprotein_inhibitor_1,p_glycoprotein_inhibitor_1_probability,p_glycoprotein_inhibitor_2,p_glycoprotein_inhibitor_2_probability,renal_organic_cation_transporter,renal_organic_cation_transporter_probability,cyp450_2c9_substrate,cyp450_2c9_substrate_probability,cyp450_2d6_substrate,cyp450_2d6_substrate_probability,cyp450_3a4_substrate,cyp450_3a4_substrate_probability,cyp450_1a2_substrate,cyp450_1a2_substrate_probability,cyp450_2c9_inhibitor,cyp450_2c9_inhibitor_probability,cyp450_2d6_inhibitor,cyp450_2d6_inhibitor_probability,cyp450_2c19_inhibitor,cyp450_2c19_inhibitor_probability,cyp450_3a4_inhibitor,cyp450_3a4_inhibitor_probability,cyp_inhibitory_promiscuity,cyp_inhibitory_promiscuity_probability,herg_inhibitor_1,herg_inhibitor_1_probability,herg_inhibitor_2,herg_inhibitor_2_probability,ames_toxicity,ames_toxicity_probability,carcinogenicity,carcinogenicity_probability,biodegradation,biodegradation_probability,rat_acute_toxicity
1,QB01AE02,ATCvet,5.0,1,lepirudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B01AE02,ATC,5.0,1,lepirudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C083544,MeSH,,1,lepirudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,QL01XC06,ATCvet,5.0,1,cetuximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L01XC06,ATC,5.0,1,cetuximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C559688,MeSH,,1,CMAB009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D000068818,MeSH,,1,Cetuximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,QR05CB13,ATCvet,5.0,1,dornase alfa (desoxyribonuclease),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,R05CB13,ATC,5.0,1,dornase alfa (desoxyribonuclease),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C568813,MeSH,,1,dornase alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,QL01XX29,ATCvet,5.0,1,denileukin diftitox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L01XX29,ATC,5.0,1,denileukin diftitox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C078456,MeSH,,1,denileukin diftitox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,QL04AB01,ATCvet,5.0,1,etanercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L04AB01,ATC,5.0,1,etanercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C000626868,MeSH,,1,LBEC0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C000628566,MeSH,,1,GP2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D000068800,MeSH,,1,Etanercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,QB01AE06,ATCvet,5.0,1,bivalirudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B01AE06,ATC,5.0,1,bivalirudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C074619,MeSH,,1,bivalirudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,QL02AE51,ATCvet,5.0,1,leuprorelin and bicalutamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,QL02AE02,ATCvet,5.0,1,leuprorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L02AE51,ATC,5.0,1,leuprorelin and bicalutamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L02AE02,ATC,5.0,1,leuprorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D016729,MeSH,,1,Leuprolide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,QL03AB61,ATCvet,5.0,1,"peginterferon alfa-2a, combinations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,QL03AB11,ATCvet,5.0,1,peginterferon alfa-2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L03AB61,ATC,5.0,1,"peginterferon alfa-2a, combinations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L03AB11,ATC,5.0,1,peginterferon alfa-2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C100416,MeSH,,1,peginterferon alfa-2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,QB01AD02,ATCvet,5.0,1,alteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,QS01XA13,ATCvet,5.0,1,alteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,S01XA13,ATC,5.0,1,alteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B01AD02,ATC,5.0,1,alteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D010959,MeSH,,1,Tissue Plasminogen Activator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,QH01AC04,ATCvet,5.0,1,sermorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,QV04CD03,ATCvet,5.0,1,sermorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,H01AC04,ATC,5.0,1,sermorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,V04CD03,ATC,5.0,1,sermorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D017337,MeSH,,1,Sermorelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C554150,MeSH,,1,interferon alfa-n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L03AB06,ATC,5.0,1,interferon alfa-n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,QL03AB06,ATCvet,5.0,1,interferon alfa-n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,QB03XA02,ATCvet,5.0,1,darbepoetin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B03XA02,ATC,5.0,1,darbepoetin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D000068256,MeSH,,1,Darbepoetin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
