drug_id,caco2,caco2_probability,bbb,bbb_probability,hia,hia_probability,p_glycoprotein_substrate,p_glycoprotein_substrate_probability,p_glycoprotein_inhibitor_1,p_glycoprotein_inhibitor_1_probability,p_glycoprotein_inhibitor_2,p_glycoprotein_inhibitor_2_probability,renal_organic_cation_transporter,renal_organic_cation_transporter_probability,cyp450_2c9_substrate,cyp450_2c9_substrate_probability,cyp450_2d6_substrate,cyp450_2d6_substrate_probability,cyp450_3a4_substrate,cyp450_3a4_substrate_probability,cyp450_1a2_substrate,cyp450_1a2_substrate_probability,cyp450_2c9_inhibitor,cyp450_2c9_inhibitor_probability,cyp450_2d6_inhibitor,cyp450_2d6_inhibitor_probability,cyp450_2c19_inhibitor,cyp450_2c19_inhibitor_probability,cyp450_3a4_inhibitor,cyp450_3a4_inhibitor_probability,cyp_inhibitory_promiscuity,cyp_inhibitory_promiscuity_probability,herg_inhibitor_1,herg_inhibitor_1_probability,herg_inhibitor_2,herg_inhibitor_2_probability,ames_toxicity,ames_toxicity_probability,carcinogenicity,carcinogenicity_probability,biodegradation,biodegradation_probability,rat_acute_toxicity
6,0,0.8319,0,0.996,1,0.8811,Substrate,0.8692,Non-inhibitor,0.647,Non-inhibitor,0.7858,Non-inhibitor,0.7959,Non-substrate,0.7558,Non-substrate,0.7957,Substrate,0.5794,Non-inhibitor,0.8977,Non-inhibitor,0.8331,Non-inhibitor,0.8894,Non-inhibitor,0.7784,Non-inhibitor,0.744,Low CYP Inhibitory Promiscuity,0.9357,Weak inhibitor,0.9307,Non-inhibitor,0.514,Non AMES toxic,0.7642,Non-carcinogens,0.8217,Not ready biodegradable,0.9705,3.1654
14,0,0.7772,0,0.8816,1,0.9771,Substrate,0.9016,Non-inhibitor,0.5834,Non-inhibitor,0.8342,Non-inhibitor,0.7673,Non-substrate,0.7534,Non-substrate,0.7806,Substrate,0.6353,Non-inhibitor,0.8265,Non-inhibitor,0.7506,Non-inhibitor,0.8835,Non-inhibitor,0.7254,Non-inhibitor,0.6347,Low CYP Inhibitory Promiscuity,0.9054,Weak inhibitor,0.8841,Inhibitor,0.5249,Non AMES toxic,0.5851,Non-carcinogens,0.6406,Not ready biodegradable,1.0,2.673
35,0,0.7612,0,0.8866,1,0.7979,Substrate,0.8242,Non-inhibitor,0.7864,Non-inhibitor,0.9237,Non-inhibitor,0.5915,Non-substrate,0.7833,Non-substrate,0.7901,Non-substrate,0.5497,Non-inhibitor,0.8383,Non-inhibitor,0.7906,Non-inhibitor,0.8735,Non-inhibitor,0.765,Non-inhibitor,0.7663,Low CYP Inhibitory Promiscuity,0.9331,Weak inhibitor,0.83,Inhibitor,0.6036,Non AMES toxic,0.6679,Non-carcinogens,0.8428,Not ready biodegradable,0.9445,2.7183
50,0,0.748,0,0.9647,1,0.913,Substrate,0.8796,Non-inhibitor,0.8235,Inhibitor,0.6194,Non-inhibitor,0.6856,Non-substrate,0.7609,Non-substrate,0.7938,Substrate,0.6358,Non-inhibitor,0.7491,Non-inhibitor,0.6987,Non-inhibitor,0.8339,Non-inhibitor,0.7056,Inhibitor,0.6531,Low CYP Inhibitory Promiscuity,0.9001,Weak inhibitor,0.7601,Inhibitor,0.649,Non AMES toxic,0.6327,Non-carcinogens,0.7553,Not ready biodegradable,1.0,2.7014
91,0,0.6994,0,0.9659,1,0.8727,Substrate,0.8463,Inhibitor,0.8685,Non-inhibitor,0.5992,Non-inhibitor,0.9485,Non-substrate,0.8628,Non-substrate,0.8823,Substrate,0.6407,Non-inhibitor,0.9045,Non-inhibitor,0.923,Non-inhibitor,0.9265,Non-inhibitor,0.9026,Non-inhibitor,0.6112,Low CYP Inhibitory Promiscuity,0.9968,Weak inhibitor,0.9815,Non-inhibitor,0.9214,Non AMES toxic,0.9133,Non-carcinogens,0.8948,Not ready biodegradable,0.9244,2.8788
104,0,0.7824,0,0.8738,1,0.9239,Substrate,0.8557,Non-inhibitor,0.9599,Non-inhibitor,0.969,Non-inhibitor,0.8506,Non-substrate,0.8205,Non-substrate,0.7632,Non-substrate,0.5268,Non-inhibitor,0.7975,Non-inhibitor,0.7743,Non-inhibitor,0.8449,Non-inhibitor,0.7355,Non-inhibitor,0.8236,Low CYP Inhibitory Promiscuity,0.708,Weak inhibitor,0.9693,Inhibitor,0.6064,Non AMES toxic,0.6448,Non-carcinogens,0.8761,Not ready biodegradable,0.9943,2.6174
114,0,0.6476,1,0.8022,1,0.5078,Non-substrate,0.6324,Non-inhibitor,0.9035,Non-inhibitor,0.9694,Non-inhibitor,0.882,Non-substrate,0.6828,Non-substrate,0.7978,Non-substrate,0.5915,Non-inhibitor,0.8704,Non-inhibitor,0.9041,Non-inhibitor,0.901,Non-inhibitor,0.8772,Non-inhibitor,0.9308,Low CYP Inhibitory Promiscuity,0.9352,Weak inhibitor,0.8729,Non-inhibitor,0.9128,Non AMES toxic,0.6624,Non-carcinogens,0.8948,Ready biodegradable,0.5443,1.6531
115,0,0.6455,0,0.7447,1,0.9574,Substrate,0.8341,Non-inhibitor,0.5082,Inhibitor,0.6369,Non-inhibitor,0.898,Non-substrate,0.8104,Non-substrate,0.8085,Substrate,0.65,Non-inhibitor,0.8775,Non-inhibitor,0.8775,Non-inhibitor,0.8737,Non-inhibitor,0.7076,Inhibitor,0.7118,Low CYP Inhibitory Promiscuity,0.8125,Weak inhibitor,0.8988,Non-inhibitor,0.682,Non AMES toxic,0.5707,Non-carcinogens,0.7782,Not ready biodegradable,0.9972,2.6731
116,0,0.8443,0,0.533,0,0.5181,Substrate,0.7509,Non-inhibitor,0.972,Non-inhibitor,0.9966,Non-inhibitor,0.8752,Non-substrate,0.8058,Non-substrate,0.7984,Non-substrate,0.637,Non-inhibitor,0.9344,Non-inhibitor,0.9265,Non-inhibitor,0.9437,Non-inhibitor,0.9215,Non-inhibitor,0.9161,Low CYP Inhibitory Promiscuity,0.9631,Weak inhibitor,0.9534,Non-inhibitor,0.6623,Non AMES toxic,0.8293,Non-carcinogens,0.954,Not ready biodegradable,0.8759,2.4563
117,0,0.6669,1,0.7546,1,0.8921,Non-substrate,0.6143,Non-inhibitor,0.9889,Non-inhibitor,0.9923,Non-inhibitor,0.907,Non-substrate,0.8647,Non-substrate,0.8235,Non-substrate,0.8363,Non-inhibitor,0.9815,Non-inhibitor,0.9646,Non-inhibitor,0.9566,Non-inhibitor,0.9656,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.9798,Weak inhibitor,0.9893,Non-inhibitor,0.9551,Non AMES toxic,0.7016,Non-carcinogens,0.9206,Not ready biodegradable,0.569,1.7719
