synonym,drug_id,score,language,coder,source
Hirudin variant-1,1,good,english,,
Lepirudin,1,good,english,inn,UNII
Lepirudin recombinant,1,good,english,,
Cetuximab,2,good,english/spanish/german,inn/usan,UNII
Cétuximab,2,good,french,inn,
Cetuximabum,2,good,latin,inn,
Deoxyribonuclease (human clone 18-1 protein moiety),3,good,english,,
Dornasa alfa,3,good,spanish,,
Dornase alfa,3,good,english,inn/jan/usan,UNII
"Dornase alfa, recombinant",3,good,english,,
Dornase alpha,3,good,english,,
Recombinant deoxyribonuclease (DNAse),3,good,english,,
Denileukin,4,good,english,,
Denileukin diftitox,4,good,english,inn/usan,UNII
Interleukin-2/diptheria toxin fusion protein,4,good,english,,
Etanercept,5,good,english,inn/ban/usan,UNII
etanercept-szzs,5,good,english,,
etanercept-ykro,5,good,english,,
Recombinant human TNF,5,good,english,,
rhu TNFR:Fc,5,good,english,,
rhu-TNFR:Fc,5,good,english,,
TNFR-Immunoadhesin,5,good,english,,
Bivalirudin,6,good,english,inn/usan,UNII
Bivalirudina,6,good,spanish,,
Bivalirudinum,6,good,latin,,
Leuprorelin,7,good,english,inn/ban,
Leuprorelina,7,good,spanish,inn,ChemIDplus
Leuproreline,7,good,french,inn,ChEBI
Leuprorelinum,7,good,latin,inn,ChEBI
PEG-IFN alfa-2A,8,good,english,,
PEG-Interferon alfa-2A,8,good,english,,
Peginterferon alfa-2a,8,good,english,inn/ban/jan/usan,UNII
Pegylated Interfeaon alfa-2A,8,good,english,,
Pegylated interferon alfa-2a,8,good,english,,
Pegylated interferon alpha-2a,8,good,english,,
Pegylated-interferon alfa 2a,8,good,english,,
Alteplasa,9,good,spanish,,
Alteplase,9,good,english,inn/usan/usp,UNII
Alteplase (genetical recombination),9,good,english,,
"Alteplase, recombinant",9,good,english,,
"Alteplase,recombinant",9,good,english,,
Plasminogen activator (human tissue-type protein moiety),9,good,english,,
rt-PA,9,good,english,,
t-PA,9,good,english,,
t-plasminogen activator,9,good,english,,
Tissue plasminogen activator,9,good,english,,
Tissue plasminogen activator alteplase,9,good,english,,
"Tissue plasminogen activator, recombinant",9,good,english,,
tPA,9,good,english,,
Sermorelin,10,good,english,inn,UNII
Interferon alfa-n1,11,good,english,usan,UNII
Interferon alpha-n1 (INS),11,good,english,,
Darbepoetin,12,good,english,,
Darbepoetin alfa,12,good,english,inn/jan/usan,UNII
"Darbepoetin alfa,recombinant",12,good,english,,
Darbepoetina alfa,12,good,spanish,,
"Kinase (enzyme-activating), uro-urokinase",13,good,english,,
TCUK,13,good,english,,
Tissue culture urokinase,13,good,english,,
Two-chain urokinase,13,good,english,,
Urochinasi,13,good,italian,,
Urokinase,13,good,english,inn/usan,UNII
Urokinasum,13,good,latin,inn,
Uroquinasa,13,good,spanish,inn,
Goserelin,14,good,english,inn/usan,UNII
Goserelina,14,good,spanish,,
Human t-PA (residues 1-3 and 176-527),15,good,english,,
Reteplasa,15,good,spanish,,
Reteplase,15,good,english,inn/usan,UNII
"Reteplase, recombinant",15,good,english,,
"Reteplase,recombinant",15,good,english,,
