,drug_id,identifier
0,2,ABP-494
1,2,BMS 564717
2,2,C-225
3,2,C225
4,2,CMAB-009
5,2,CMAB009
6,2,IMC-225
7,2,IMC-C225
8,2,MOAB C225
9,4,DAB-389IL2
10,4,DAB389 IL2
11,4,DAB389IL2
12,4,LY-335348
13,4,LY335348
14,5,CHS-0214
15,5,DWP-422
16,5,ENIA-11
17,5,GP-2015
18,5,GP2015
19,5,GP2015C
20,5,HD-203
21,5,HD203
22,5,LBEC-0101
23,5,LBEC0101
24,5,SB-4
25,5,SB4
26,6,BG-8967
27,6,BG8967
28,7,CKD-841
29,8,RO 25-8310/000
30,8,RO-25-8310/000
31,8,RO-258310000
32,13,WIN 22005
33,14,"ICI 118,630"
34,14,ICI-118630
35,15,BM 06.022
36,15,BM-06.022
37,15,BM-06022
38,16,BM 06.019
39,17,SMC-021
40,17,SMC021
41,20,B1 61.012
42,20,B1-61012
43,24,GX-30
44,25,BAY 14-2222
45,25,BAY 81-8973
46,25,BAY W 6240
47,25,BAY-14-2222
48,25,BAY-81-8973
49,25,BAY-W-6240
50,25,BAY81-8973
51,29,BRL 26921
52,29,BRL-26921
53,34,RO 22-8181
54,34,RO-22-8181
55,34,RO-228181
56,38,YM 294
57,42,AN-0772
58,42,AN0772
59,46,LY-275585
60,46,LY275585
61,46,SAR-342434
62,46,SAR342434
63,47,HOE 71GT
64,47,HOE 901
65,47,HOE-71GT
66,47,HOE-901
67,47,LY 2963016
68,47,LY-2963016
69,47,LY2963016
70,47,MK-1293
71,47,MYL-1501D
72,48,AA-4500
73,48,AA4500
74,48,PF-5076985
75,49,SR 29142
76,49,SR29142
77,50,SB 75
78,50,SB-75
79,51,ABP-501
80,51,BCD-057
81,51,BI-695501
82,51,BI695501
83,51,CHS-1420
84,51,D2E7
85,51,GP-2017
86,51,GP2017
87,51,LU-200134
88,51,LU200134
89,51,M-923
90,51,M923
91,51,MSB-11022
92,51,MSB11022
93,51,ONS-3010
94,51,SB-5
95,51,SB5
96,52,CB-311
97,52,DA-3002
98,52,LY-137998
99,52,LY137998
100,53,ISU-302
101,55,LY203638
102,57,CYT-099
103,57,CYT-103
104,58,232-924-7
105,65,ABP 710
106,65,ABP-710
107,65,BOW-015
108,65,BOW015
109,65,CT-P-13
110,65,CT-P13
111,65,GP 1111
112,65,GP-1111
113,65,PF-06438179
114,65,TA-650
115,70,HYO-6A
116,70,HYO6A
117,72,4D5V8
118,72,ABP 980
119,72,ABP-980
120,72,DMB-3111
121,72,EG-12014
122,72,EG12014
123,72,R-597
124,72,SB-3
125,72,SYD-977
126,72,SYD977
127,73,GP2013
128,73,IDEC-102
129,73,IDEC-C2B8
130,73,PF 05280586
131,73,PF-05280586
132,73,RG-105
133,74,CHI-621
134,74,SDZ-CHI-621
135,78,IDEC-129
136,78,IDEC-Y2B8
137,80,LY 146032
138,80,LY-146032
139,80,LY-164032
140,82,B-2036-PEG
141,82,B2036-PEG
142,83,AGN 191622
143,83,ANT-1207
144,83,ANT-1401
145,83,ANT-1403
146,83,CNT 52120
147,83,NT 201
148,85,EUR-1008
149,85,EUR-1066
150,85,SA-001
151,89,CYT-356
152,89,Cytogen 356
153,91,27-400
154,91,Antibiotic S 7481F1
155,91,Antibiotic S-7481F1
156,91,NOVA-22007
157,91,NSC-290193
158,91,OL-27-400
159,91,SANG-35
160,91,SDZ-OXL-400
161,92,ASP0485
162,92,BG-9273
163,92,BG-9712
164,92,BG9273
165,92,BG9712
166,92,LFA-3CD2
167,92,LFA-3TIP
168,92,LFA3TIP
169,95,HU-1124
170,95,HU1124
171,102,GEM 21S
172,102,GEM-21S
173,102,RWJ 60235
174,102,RWJ-60235
175,104,DRG-0115
176,104,SMS 201-995
177,104,SMS-201-995
178,104,SMS995-AAA
179,105,99210-65-8
180,105,SCH 30500
181,105,SCH-30500
182,105,YM 14090
183,108,AN100226M
184,109,DP-178
185,109,DP178
186,109,T-20
187,109,T20
188,110,MEDI 493
189,111,RO 24-7375
190,111,RO-24-7375
191,112,ABP 215
192,112,ABP-215
193,112,R-435
194,117,FEMA NO. 3694
195,119,FEMA NO. 2970
196,119,NSC-179
197,120,FEMA NO. 3585
198,125,NSC-206269
199,126,E 300
200,126,E-300
201,126,E300
202,126,FEMA NO. 2109
203,126,INS NO.300
204,126,INS-300
205,126,NSC-218455
206,126,NSC-33832
207,127,NSC-268508
208,128,FEMA NO. 3656
209,130,Fema no. 3684
210,130,NSC-27421
211,131,NSC-20264
212,132,18:3(N-3)
213,132,"FEMA NO. 3380, LINOLENIC ACID-"
214,135,FEMA NO. 3736
215,136,DN-101
216,136,RO 21-5535
217,136,RO-21-5535
218,136,RO-215535
219,137,E 161
220,137,E-161B
221,137,E-161B(I)
222,137,INS NO.161B(I)
223,137,INS-161B(I)
224,139,E363
225,140,E101
226,140,INS NO. 101(I)
227,140,NCI-0033298
228,140,NSC-33298
229,141,NSC-400525
230,141,NSC-524344
231,142,E 620
232,142,E-620
233,142,FEMA NO. 3285
234,142,INS NO.620
235,142,INS-620
236,142,NSC-143503
237,145,FEMA NO. 3287
238,149,FEMA NO. 3297
239,150,NSC-13119
240,151,E 920
241,151,E-920
242,151,E920
243,151,FEMA NO. 3263
244,151,NSC-8746
245,154,DS-107G
246,154,DS107G
247,154,RO 12-1989
248,158,NSC-3073
249,159,EPA 45G
250,160,NSC-206315
251,162,11103-57-4
252,163,E-307A
253,163,INS NO.307A
254,163,INS-307A
255,163,J24.260H
256,168,E-951
257,168,SC-18862
258,169,NSC-375571
259,170,USAF EK-5185
260,172,FEMA NO. 3319
261,172,NSC-46703
262,177,CGP 48933
263,177,CGP-48933
264,178,C09AA05
265,178,HOE 498
266,179,CHX 100
267,179,CHX-100
268,179,INSM-18
269,179,INSM18
270,179,NSC-4291
271,183,AY-6608
272,183,"ICI 50,123"
273,185,Sni 2011
274,186,WY-4036
275,188,BXCL 101
276,188,BXCL-101
277,188,BXCL101
278,188,LDP 341
279,188,LDP-341
280,188,LDP341
281,188,PS 341
282,188,PS-341
283,188,PS341
284,190,MK-486
285,193,CG 315E
286,193,CG-315E
287,193,E-265
288,193,E265
289,193,ETS-6103
290,193,ETS6103
291,193,U-26255A
292,196,"UK-49,858"
293,196,UK-49858
294,198,GS 4104
295,198,GS-4071 ETHYL ESTER
296,198,GS-4104
297,198,GS4104
298,198,HSDB 7433
299,198,RO-64-0796
300,198,RO-640796
301,198,RO64-0796
302,199,NSC-55929
303,201,Fema no. 2224
304,201,NSC-5036
305,203,HIP-0908
306,203,HIP0908
307,204,"UK-68,798"
308,204,UK-68798
309,205,NSC-3061
310,205,RP-4753
311,205,WR-2978
312,206,ENT-50146
313,206,NSC-237659
314,206,NSC-59272
315,207,CP 62993
316,207,"CP-62,993"
317,207,CP-62993
318,207,DRG-0104
319,207,XZ 405
320,207,XZ 450
321,207,XZ-450
322,210,CD 271
323,210,CD-271
324,211,ST 1085
325,211,ST-1085
326,212,Ro 42-5892
327,212,RO-42-5892
328,214,AC-4464
329,214,AC4464
330,214,BM-02.015
331,214,BM-02015
332,214,BM02.015
333,215,Lu 10-171
334,216,"UK-116,044"
335,216,"UK-116,044-04 FREE BASE"
336,216,UK-116044
337,216,UK-116044-04 FREE BASE
338,218,BAY 12-8039
339,220,AG1343
340,221,WIN-3046
341,222,HOE 490
342,222,HOE-490
343,222,HOE490
344,225,S-041
345,227,L-154803
346,227,MK-803
347,227,ML-530B
348,228,Anesthetic 347
349,228,OHIO 347
350,228,R-E-235CA2
351,230,CI 1008
352,230,CI-1008
353,230,PD-144723
354,230,YNP-1807
355,231,WY-3917
356,235,"WIN 47,203-2"
357,236,A-8103
358,236,NSC-25154
359,238,BIRG 0587
360,238,BIRG-0587
361,238,BIRG-587
362,238,NSC-641530
363,239,Ro 13-8996
364,242,RWJ 26251
365,242,RWJ-26251
366,243,CVT-303
367,243,RS-43285-003
368,244,MAX-002
369,244,SPD476
370,245,NK-02
371,246,CP 88059
372,248,FCE 21336
373,248,FCE-21336
374,249,ALLERGAN 211
375,249,ALLERGAN-211
376,249,NSC-39661
377,249,SK&F 14287
378,250,NSC-6091
379,252,NSC-8722
380,253,GSH 1043
381,253,NSC-63278
382,253,U 8471
383,253,U-8471
384,255,RCRA waste number U089
385,257,BAY 5097
386,257,BAY-5097
387,258,E-263
388,258,FEMA NO. 2228
389,258,INS NO.263
390,258,INS-263
391,259,1162 F
392,259,F 1162
393,259,F-1162
394,259,NSC-7618
395,260,NSC-154851
396,260,NSC-76029
397,260,PA 94
398,260,PA-94
399,260,Ro-1-9213
400,261,BL-4162A
401,262,DTI-015
402,262,FDA-0345
403,262,NSC-409962
404,262,SK 27702
405,262,SK-27702
406,262,SRI 1720
407,262,SRI-1720
408,264,CGP-2175
409,266,NSC-17860
410,266,NSC-221570
411,266,NSC-41834
412,267,SCE-1365
413,268,SK&F 101468
414,268,SK&F-101468
415,269,NSC-10108
416,271,NSC-262168
417,273,MCN-4853
418,273,RWJ-17021
419,273,RWJ-17021-000
420,273,USL-255
421,273,USL255
422,274,U-72791
423,275,DE-092
424,275,RNH-6270
425,276,CI-880
426,276,CL-880
427,276,NSC-156303
428,276,NSC-249992
429,276,SN-11841
430,276,SN-21429
431,279,NSC-80203
432,281,ALGRX 3268
433,281,ALGRX-3268
434,281,LSM-3165
435,281,NSC-40030
436,283,HS-592
437,284,Bay g 5421
438,284,BAY-g 5421
439,284,BAY-G-5421
440,284,BAYG5421
441,284,HSDB 7984
442,288,CL 34699
443,288,CL-34699
444,291,CB-1348
445,291,NCI-3088
446,291,NSC-3088
447,293,ZD 1694
448,293,ZD-1694
449,293,ZD1694
450,294,ORG 3236
451,294,ORG-3236
452,295,IDS-NM-009
453,295,N02AA01
454,297,AH 250
455,297,DUR-843
456,297,LAC-43
457,297,SKY 0402
458,297,SKY-0402
459,297,SKY0402
460,297,Win 11318
461,299,BRL-39123
462,300,GS-4331
463,301,BRL 2039
464,301,BRL-2039
465,302,CL 65336
466,302,CL-65336
467,302,RP-18429
468,304,ORG 2969
469,304,ORG-2969
470,305,NSC-26980
471,306,HSDB 3397
472,306,WIN 5095
473,307,LG 100069
474,307,LG-100069
475,307,LG100069
476,307,LGD 1069
477,307,LGD-1069
478,307,LGD1069
479,308,U 70226 E
480,309,Lilly 112531
481,313,44089
482,315,311 C 90
483,315,BW 311 C 90
484,316,NSC-109028
485,316,NSC-3991
486,317,ZD 1839
487,317,ZD-1839
488,317,ZD1839
489,318,IDS-NC-005(SECT.-2)
490,319,BL-P 1908
491,319,CI 867
492,319,CL 227193
493,319,T 1220
494,320,MAP-0004
495,320,MAP0004
496,321,MK 230
497,321,N 750
498,321,Ro 4-1575
499,322,NSC-27640
500,323,RO 40-7592
501,323,RO-40-7592
502,323,RO-407592
503,324,NSC 33001
504,324,U 17323
505,327,IDS-NH-004
506,327,N02AA03
