drug_id,country,number,approved_on,expires_on,ped_extension
1,United States,5180668,19-Jan-1993,19-Jan-2010,0
2,Canada,1340417,02-Mar-1999,02-Mar-2016,0
3,Canada,2184581,22-Feb-2005,28-Feb-2015,0
3,Canada,2137237,26-Oct-2004,28-May-2013,0
5,Canada,2476934,16-Jun-2009,27-Feb-2023,0
5,Canada,2123593,14-Mar-2000,14-Sep-2013,0
5,United States,7276477,02-Oct-2007,29-Jul-2024,0
6,United States,5196404,23-Mar-1993,23-May-2010,0
6,Canada,2065150,14-Dec-1999,17-Aug-2010,0
6,United States,7598343,06-Oct-2009,27-Jan-2029,1
6,United States,7582727,01-Sep-2009,27-Jan-2029,1
7,United States,6036976,14-Mar-2000,13-Dec-2016,0
7,United States,8921326,30-Dec-2014,05-Feb-2031,0
7,United States,7429559,30-Sep-2008,13-Jan-2019,0
7,United States,8815801,26-Aug-2014,28-Jun-2022,0
7,United States,5728396,17-Mar-1998,30-Jan-2017,0
7,United States,6156331,05-Dec-2000,30-Jan-2017,0
7,United States,6375978,23-Apr-2002,17-Dec-2018,0
7,United States,6235712,22-May-2001,13-Jun-2017,0
7,United States,6113938,05-Sep-2000,24-Jul-2018,0
7,United States,6124261,26-Sep-2000,13-Jun-2017,0
7,United States,6395292,28-May-2002,30-Jan-2017,0
7,United States,6132420,17-Oct-2000,30-Jan-2017,0
7,United States,5985305,16-Nov-1999,30-Jan-2017,0
7,United States,5932547,03-Aug-1999,13-Jun-2017,0
7,United States,6565874,20-May-2003,28-Oct-2018,0
7,United States,6773714,10-Aug-2004,28-Oct-2018,0
7,United States,6626870,30-Sep-2003,27-Mar-2020,0
7,United States,9283282,15-Mar-2016,28-Oct-2018,0
7,United States,9254307,09-Feb-2016,28-Oct-2018,0
7,United States,8486455,16-Jul-2013,28-Oct-2018,0
7,United States,8840916,23-Sep-2014,13-Nov-2020,0
7,United States,8470359,25-Jun-2013,15-Oct-2023,0
7,United States,9539333,10-Jan-2017,13-Nov-2020,0
7,United States,9914802,13-Mar-2018,13-Nov-2020,0
7,United States,10646572,16-Jan-2007,16-Jan-2027,0
7,United States,9572857,16-Jan-2007,16-Jan-2027,0
7,United States,9744207,16-Jan-2007,16-Jan-2027,0
8,Canada,2203480,30-Jun-2009,23-Apr-2017,0
8,Canada,2172664,03-Oct-2000,26-Mar-2016,0
12,Canada,2165694,18-Mar-2003,15-Oct-2010,0
12,Canada,2147124,05-Nov-2002,16-Aug-2014,0
14,United States,7118552,10-Oct-2006,13-Apr-2022,0
14,United States,7220247,22-May-2007,09-Apr-2022,0
14,United States,7500964,10-Mar-2009,26-Feb-2021,0
15,Canada,2107476,18-Dec-2007,15-Apr-2012,0
16,Canada,1339047,27-May-1997,27-May-2014,0
17,United States,5733569,31-Mar-1998,31-Mar-2015,0
17,United States,6440392,27-Aug-2002,02-Feb-2021,0
17,United States,RE43580,14-Aug-2012,02-Feb-2021,0
17,United States,RE40812,30-Jun-2009,02-Feb-2021,0
19,Canada,1341537,31-Jul-2007,31-Jul-2024,0
19,Canada,1339071,29-Jul-1997,29-Jul-2014,0
20,Canada,1341150,05-Dec-2000,05-Dec-2017,0
22,Canada,1341567,19-Feb-2008,19-Feb-2025,0
22,Canada,2329474,26-Feb-2002,31-Oct-2016,0
24,United States,5840566,24-Nov-1998,24-Nov-2015,0
25,Canada,2124690,11-Sep-2007,01-Oct-2013,0
25,Canada,1339477,23-Sep-1997,23-Sep-2014,0
26,Canada,2141953,08-Apr-2008,17-Sep-2013,0
26,Canada,1341322,27-Nov-2001,27-Nov-2018,0
30,United States,RE37872,08-Oct-2002,12-Feb-2010,0
30,Canada,2183577,30-Oct-2007,07-Feb-2015,0
30,Canada,2253393,09-Oct-2007,07-May-2017,0
30,United States,7291132,06-Nov-2007,09-Aug-2024,0
30,United States,6257233,10-Jul-2001,14-May-2019,0
30,United States,6546929,15-Apr-2003,14-May-2019,0
30,United States,6685967,03-Feb-2004,11-Sep-2018,0
30,United States,6582728,24-Jun-2003,24-Jun-2020,0
30,United States,8912193,16-Dec-2014,12-Jun-2029,0
30,United States,7648960,19-Jan-2010,29-Jun-2020,0
30,United States,6652885,25-Nov-2003,29-Jun-2020,0
30,United States,8258095,04-Sep-2012,11-Aug-2029,0
30,United States,8778403,15-Jul-2014,11-Jun-2030,0
30,United States,6444226,03-Sep-2002,29-Jun-2020,0
30,United States,7943572,17-May-2011,10-Aug-2026,0
30,United States,8119593,21-Feb-2012,11-Aug-2029,0
30,United States,7943178,17-May-2011,29-Jun-2020,0
30,United States,8889099,18-Nov-2014,29-Jun-2020,0
30,United States,8623817,07-Jan-2014,18-Sep-2029,0
30,United States,8389470,05-Mar-2013,29-Jun-2020,0
30,United States,9192675,24-Nov-2015,12-Jun-2029,0
30,United States,8215300,10-Jul-2012,24-Nov-2022,0
30,United States,8146588,03-Apr-2012,24-Apr-2023,0
30,United States,8950397,10-Feb-2015,20-Jul-2021,0
30,United States,8485180,16-Jul-2013,25-Mar-2030,0
30,United States,9283193,15-Mar-2016,14-Sep-2026,0
30,United States,8636001,28-Jan-2014,12-Jul-2032,0
30,United States,8424518,23-Apr-2013,17-Oct-2031,0
30,United States,8551528,08-Oct-2013,11-Jun-2030,0
30,United States,7464706,16-Dec-2008,02-Mar-2023,0
30,United States,8729019,20-May-2014,26-Dec-2028,0
30,United States,7305986,11-Dec-2007,16-Jan-2023,0
30,United States,8499757,06-Aug-2013,19-Feb-2032,0
30,United States,8156936,17-Apr-2012,16-Jan-2023,0
30,United States,8734845,27-May-2014,11-Jun-2030,0
30,United States,8227409,24-Jul-2012,08-Mar-2031,0
30,United States,9393372,19-Jul-2016,04-Jul-2029,0
30,United States,9339615,17-May-2016,20-Oct-2029,0
30,United States,9511198,06-Dec-2016,16-Feb-2030,0
30,United States,9597374,21-Mar-2017,08-Oct-2031,0
30,United States,9358352,07-Jun-2016,15-Feb-2031,0
30,United States,9446133,20-Sep-2016,12-Jun-2029,0
30,United States,9662461,30-May-2017,12-Jun-2029,0
30,United States,9717689,01-Aug-2017,14-Sep-2026,0
30,United States,9943571,17-Apr-2018,11-Aug-2029,0
30,United States,10046031,14-Aug-2018,11-Aug-2029,0
30,United States,10201672,12-Feb-2019,02-Aug-2030,0
30,United States,10342938,09-Jul-2019,12-Jun-2029,0
30,United States,10500159,10-Dec-2019,02-Nov-2030,0
31,Canada,2129660,28-Jun-2005,28-May-2013,0
31,Canada,1341432,17-Jun-2003,17-Jun-2020,0
33,United States,6936695,30-Aug-2005,30-Aug-2022,0
33,United States,6936694,30-Aug-2005,30-Aug-2022,0
34,Canada,2172664,03-Oct-2000,26-Mar-2016,0
35,United States,7022340,04-Apr-2006,30-Apr-2023,0
35,United States,5500413,19-Mar-1996,29-Jun-2013,0
35,Canada,2484724,16-Jan-2007,07-May-2023,0
35,Canada,2486833,02-Aug-2005,30-Apr-2024,0
35,United States,9539302,10-Jan-2017,15-Jun-2030,0
35,United States,7799761,21-Sep-2010,26-Sep-2024,0
35,United States,7405203,29-Jul-2008,06-May-2023,0
35,United States,7579321,25-Aug-2009,06-May-2023,0
